Sexo;Tipo de empleo buscado;Grupos de edad (años);Periodo;Total
ambos sexos;total;total;1995TIV;3.710,4
ambos sexos;total;total;1995TIII;3.689,7
ambos sexos;total;total;1995TII;3.668,1
ambos sexos;total;total;1995TI;3.794,1
ambos sexos;total;total;1994TIV;3.856,7
ambos sexos;total;total;1994TIII;3.835,2
ambos sexos;total;total;1994TII;3.895,5
ambos sexos;total;total;1994TI;3.932,9
ambos sexos;total;total;1993TIV;3.817
ambos sexos;total;total;1993TIII;3.653,6
ambos sexos;total;total;1993TII;3.510,2
ambos sexos;total;total;1993TI;3.414,3
ambos sexos;total;total;1992TIV;3.161
ambos sexos;total;total;1992TIII;2.877,1
ambos sexos;total;total;1992TII;2.775,7
ambos sexos;total;total;1992TI;2.719,8
ambos sexos;total;total;1991TIV;2.653
ambos sexos;total;total;1991TIII;2.560,2
ambos sexos;total;total;1991TII;2.466,8
ambos sexos;total;total;1991TI;2.500,7
ambos sexos;total;total;1990TIV;2.499,8
ambos sexos;total;total;1990TIII;2.454,1
ambos sexos;total;total;1990TII;2.503,6
ambos sexos;total;total;1990TI;2.584,4
ambos sexos;total;total;1989TIV;2.596,5
ambos sexos;total;total;1989TIII;2.538,1
ambos sexos;total;total;1989TII;2.623
ambos sexos;total;total;1989TI;2.772,2
ambos sexos;total;total;1988TIV;2.773,6
ambos sexos;total;total;1988TIII;2.896,5
ambos sexos;total;total;1988TII;2.954,7
ambos sexos;total;total;1988TI;3.001,1
ambos sexos;total;total;1987TIV;2.955,2
ambos sexos;total;total;1987TIII;2.964,1
ambos sexos;total;total;1987TII;2.959,7
ambos sexos;total;de 16 a 19;1995TIV;303,5
ambos sexos;total;de 16 a 19;1995TIII;335
ambos sexos;total;de 16 a 19;1995TII;319,5
ambos sexos;total;de 16 a 19;1995TI;342,3
ambos sexos;total;de 16 a 19;1994TIV;357,9
ambos sexos;total;de 16 a 19;1994TIII;379,5
ambos sexos;total;de 16 a 19;1994TII;369,3
ambos sexos;total;de 16 a 19;1994TI;388,9
ambos sexos;total;de 16 a 19;1993TIV;388,1
ambos sexos;total;de 16 a 19;1993TIII;392,5
ambos sexos;total;de 16 a 19;1993TII;370,1
ambos sexos;total;de 16 a 19;1993TI;360,8
ambos sexos;total;de 16 a 19;1992TIV;327,7
ambos sexos;total;de 16 a 19;1992TIII;323
ambos sexos;total;de 16 a 19;1992TII;287,5
ambos sexos;total;de 16 a 19;1992TI;290,6
ambos sexos;total;de 16 a 19;1991TIV;273,1
ambos sexos;total;de 16 a 19;1991TIII;285,4
ambos sexos;total;de 16 a 19;1991TII;265
ambos sexos;total;de 16 a 19;1991TI;279,1
ambos sexos;total;de 16 a 19;1990TIV;292,9
ambos sexos;total;de 16 a 19;1990TIII;322,6
ambos sexos;total;de 16 a 19;1990TII;307,6
ambos sexos;total;de 16 a 19;1990TI;327,1
ambos sexos;total;de 16 a 19;1989TIV;317,7
ambos sexos;total;de 16 a 19;1989TIII;345,5
ambos sexos;total;de 16 a 19;1989TII;335,2
ambos sexos;total;de 16 a 19;1989TI;374,1
ambos sexos;total;de 16 a 19;1988TIV;398,1
ambos sexos;total;de 16 a 19;1988TIII;444,5
ambos sexos;total;de 16 a 19;1988TII;455,3
ambos sexos;total;de 16 a 19;1988TI;476,6
ambos sexos;total;de 16 a 19;1987TIV;493,2
ambos sexos;total;de 16 a 19;1987TIII;483,2
ambos sexos;total;de 16 a 19;1987TII;496,1
ambos sexos;total;de 20 a 24;1995TIV;809,1
ambos sexos;total;de 20 a 24;1995TIII;810,4
ambos sexos;total;de 20 a 24;1995TII;787,9
ambos sexos;total;de 20 a 24;1995TI;836,1
ambos sexos;total;de 20 a 24;1994TIV;856,8
ambos sexos;total;de 20 a 24;1994TIII;862,8
ambos sexos;total;de 20 a 24;1994TII;875,5
ambos sexos;total;de 20 a 24;1994TI;905
ambos sexos;total;de 20 a 24;1993TIV;873,4
ambos sexos;total;de 20 a 24;1993TIII;869,2
ambos sexos;total;de 20 a 24;1993TII;802,7
ambos sexos;total;de 20 a 24;1993TI;790,3
ambos sexos;total;de 20 a 24;1992TIV;754,4
ambos sexos;total;de 20 a 24;1992TIII;666,3
ambos sexos;total;de 20 a 24;1992TII;659,3
ambos sexos;total;de 20 a 24;1992TI;637,8
ambos sexos;total;de 20 a 24;1991TIV;654,9
ambos sexos;total;de 20 a 24;1991TIII;631,7
ambos sexos;total;de 20 a 24;1991TII;623,3
ambos sexos;total;de 20 a 24;1991TI;642,3
ambos sexos;total;de 20 a 24;1990TIV;662,9
ambos sexos;total;de 20 a 24;1990TIII;657
